account,queue,status,month,day
86086,OTHER,ARCHIVED,05,05
26514,COLLECTIONS,CASSIST2,05,05
84455,SETTLED,SETTLED,05,05
59639,SETTLED,SETTLED,05,05
30943,OTHER,ARCHIVED,05,05
67396,PAYING,PAY CURR,05,05
88706,LEGAL,HOLD FO,05,05
48880,SETTLED,SETTLED,05,05
91435,PAYING,PAY PROP,05,05
81634,INSOLVENCY,INS3,05,05
29593,COLLECTIONS,CASSIST2,05,05
71125,TRACE,GONEAWAY,05,05
47532,SETTLED,SETTLED,05,05
62106,TRACE,GONEAWAY,05,05
48606,LEGAL,LEG_NOT,05,05
34083,TRACE,GONEAWAY,05,05
54275,SETTLED,SETTLED,05,05
28382,SETTLED,SETTLED,05,05
97918,LEGAL,LEG VERIF 2,05,05
88716,COLLECTIONS,TELSOLUTIONS1,05,05
82269,COLLECTIONS,PRIME,05,05
32998,LEGAL,LEG_NOT,05,05
16198,TRACE,GONEAWAY,05,05
97730,TRACE,GONEAWAY,05,05
62595,COLLECTIONS,PRIME_D,05,05
37988,SETTLED,SETTLED,05,05
85241,OTHER,ARCHIVED,05,05
36313,INSOLVENCY,INS4,05,05
20457,INSOLVENCY,INS4,05,05
12247,PAYING,PAY CURR,05,05
52697,COLLECTIONS,PRIME,05,05
11916,OTHER,ARCHIVED,05,05
55047,COLLECTIONS,CANCEL2,05,05
46545,SETTLED,SETTLED,05,05
88333,SETTLED,SETTLED,05,05
10869,SETTLED,SETTLED,05,05
80451,COLLECTIONS,PRIME,05,05
47801,LEGAL,HOLD FO,05,05
67504,PAYING,PAY PROP,05,05
95324,TRACE,GONEAWAY,05,05
70219,SETTLED,SETTLED,05,05
54765,TRACE,GONEAWAY,05,05
44476,TRACE,GONEAWAY,05,05
41546,OTHER,ARCHIVED,05,05
78528,TRACE,GONEAWAY,05,05
39629,PAYING,PAY CURR,05,05
54885,PAYING,PAY PROP,05,05
81675,PAYING,PAY PROP,05,05
39643,INSOLVENCY,INS2,05,05
66755,TRACE,GONEAWAY,05,05
34650,LEGAL,HOLD FO,05,05
74670,COLLECTIONS,PAY OVER,05,05
63368,COLLECTIONS,TELSOLUTIONS4,05,05
72758,INSOLVENCY,INSP,05,05
45571,TRACE,GONEAWAY,05,05
40198,TRACE,GONEAWAY,05,05
66138,INSOLVENCY,INS3,05,05
21415,OTHER,ARCHIVED,05,05
63285,TRACE,GONEAWAY,05,05
30746,COLLECTIONS,PRIME,05,05
25633,LEGAL,LEG_TIT,05,05
60001,INSOLVENCY,INS3,05,05
90540,PAYING,PAY PROP,05,05
46992,TRACE,GONEAWAY,05,05
94606,COLLECTIONS,CANCEL2,05,05
82526,LEGAL,HOLD FO,05,05
31527,OTHER,ARCHIVED,05,05
94706,LEGAL,LEG VERIF 1,05,05
91402,COLLECTIONS,CANCEL4,05,05
37781,OTHER,ARCHIVED,05,05
77395,PAYING,PAY PROP,05,05
53131,INSOLVENCY,INS3,05,05
73332,OTHER,ARCHIVED,05,05
47450,PAYING,PAY CURR,05,05
28504,PAYING,PAY CURR,05,05
95232,OTHER,ARCHIVED,05,05
33687,LEGAL,HOLD FO,05,05
10585,TRACE,GONEAWAY,05,05
18486,COLLECTIONS,TELSOLUTIONS1,05,05
13484,TRACE,GONEAWAY,05,05
89946,LEGAL,LEG VERIF 1,05,05
91658,LEGAL,LEG_NOT,05,05
28442,OTHER,ARCHIVED,05,05
32687,TRACE,GONEAWAY,05,05
55200,INSOLVENCY,INS4,05,05
93496,LEGAL,LEG VERIF 2,05,05
26232,SETTLED,SETTLED,05,05
54549,LEGAL,HOLD FO,05,05
35227,LEGAL,LEG_TIT,05,05
45153,INSOLVENCY,INS3,05,05
77262,COLLECTIONS,PRIME_D,05,05
97280,OTHER,ARCHIVED,05,05
70180,COLLECTIONS,CANCEL4,05,05
26066,OTHER,ARCHIVED,05,05
84211,COLLECTIONS,CANCEL2,05,05
39313,COLLECTIONS,TELSOLUTIONS1,05,05
14961,SETTLED,SETTLED,05,05
43314,LEGAL,LEG_NOT,05,05
20507,TRACE,GONEAWAY,05,05
92829,OTHER,ARCHIVED,05,05
30496,LEGAL,LEG_NOT,05,05
53016,PAYING,PAY PROP,05,05
67687,COLLECTIONS,CANCEL4,05,05
21489,TRACE,GONEAWAY,05,05
20307,TRACE,GONEAWAY,05,05
98849,OTHER,ARCHIVED,05,05
29600,SETTLED,SETTLED,05,05
74428,COLLECTIONS,PAY OVER,05,05
15004,OTHER,ARCHIVED,05,05
39175,TRACE,GONEAWAY,05,05
77426,OTHER,ARCHIVED,05,05
57417,SETTLED,SETTLED,05,05
82324,SETTLED,SETTLED,05,05
29836,PAYING,PAY PROP,05,05
72838,PAYING,PAY CURR,05,05
88213,OTHER,ARCHIVED,05,05
57074,SETTLED,SETTLED,05,05
59940,LEGAL,LEG_TIT,05,05
19675,OTHER,ARCHIVED,05,05
58473,COLLECTIONS,TELSOLUTIONS1,05,05
13989,PAYING,PAY CURR,05,05
76500,LEGAL,LEG_TIT,05,05
40733,COLLECTIONS,CANCEL2,05,05
59502,TRACE,GONEAWAY,05,05
64246,SETTLED,SETTLED,05,05
15757,TRACE,GONEAWAY,05,05
96772,SETTLED,SETTLED,05,05
95274,SETTLED,SETTLED,05,05
91099,INSOLVENCY,INSP,05,05
40987,OTHER,ARCHIVED,05,05
24213,TRACE,GONEAWAY,05,05
48786,OTHER,ARCHIVED,05,05
38899,SETTLED,SETTLED,05,05
35919,TRACE,GONEAWAY,05,05
66787,OTHER,ARCHIVED,05,05
63848,LEGAL,LEG VERIF 1,05,05
43882,SETTLED,SETTLED,05,05
52137,COLLECTIONS,PRIME,05,05
87394,OTHER,ARCHIVED,05,05
91001,OTHER,ARCHIVED,05,05
69791,TRACE,GONEAWAY,05,05
34108,COLLECTIONS,PRIME,05,05
27800,SETTLED,SETTLED,05,05
79521,OTHER,ARCHIVED,05,05
18838,COLLECTIONS,TELSOLUTIONS1,05,05
61550,COLLECTIONS,CANCEL4,05,05
73980,SETTLED,SETTLED,05,05
19413,TRACE,GONEAWAY,05,05
83785,SETTLED,SETTLED,05,05
36810,COLLECTIONS,CASSIST2,05,05
51089,TRACE,GONEAWAY,05,05
38921,INSOLVENCY,INSP,05,05
11356,INSOLVENCY,INS4,05,05
14671,SETTLED,SETTLED,05,05
95948,COLLECTIONS,PRIME_D,05,05
84118,COLLECTIONS,PRIME_D,05,05
86013,TRACE,GONEAWAY,05,05
91331,SETTLED,SETTLED,05,05
32832,OTHER,ARCHIVED,05,05
17880,COLLECTIONS,CANCEL4,05,05
98794,PAYING,PAY CURR,05,05
59344,LEGAL,LEG VERIF 1,05,05
86347,PAYING,PAY PROP,05,05
54123,SETTLED,SETTLED,05,05
83943,COLLECTIONS,PAY OVER,05,05
94714,TRACE,GONEAWAY,05,05
90869,PAYING,PAY PROP,05,05
84256,TRACE,GONEAWAY,05,05
32283,PAYING,PAY CURR,05,05
87432,SETTLED,SETTLED,05,05
92669,OTHER,ARCHIVED,05,05
55992,COLLECTIONS,TELSOLUTIONS4,05,05
63099,SETTLED,SETTLED,05,05
98254,LEGAL,LEG VERIF 2,05,05
45539,SETTLED,SETTLED,05,05
48354,INSOLVENCY,INS3,05,05
13416,INSOLVENCY,INS1,05,05
66158,OTHER,ARCHIVED,05,05
68484,INSOLVENCY,INS1,05,05
78633,TRACE,GONEAWAY,05,05
47933,PAYING,PAY PROP,05,05
39776,OTHER,ARCHIVED,05,05
21399,LEGAL,LEG VERIF 1,05,05
71242,LEGAL,LEG VERIF 1,05,05
19099,TRACE,GONEAWAY,05,05
70437,PAYING,PAY CURR,05,05
58064,COLLECTIONS,CANCEL2,05,05
42252,LEGAL,LEG VERIF 2,05,05
86556,COLLECTIONS,PRIME_D,05,05
75042,TRACE,GONEAWAY,05,05
94638,INSOLVENCY,INS4,05,05
25733,COLLECTIONS,PRIME_D,05,05
21707,PAYING,PAY PROP,05,05
37798,LEGAL,LEG_TIT,05,05
79279,TRACE,GONEAWAY,05,05
84845,LEGAL,LEG VERIF 2,05,05
25073,COLLECTIONS,PRIME,05,05
71048,PAYING,PAY CURR,05,05
87921,COLLECTIONS,TELSOLUTIONS1,05,05
88060,INSOLVENCY,INS4,05,05
79212,SETTLED,SETTLED,05,05
78987,SETTLED,SETTLED,05,05
29623,PAYING,PAY PROP,05,05
98909,COLLECTIONS,CASSIST2,05,05
89176,TRACE,GONEAWAY,05,05
54341,LEGAL,HOLD FO,05,05
31172,PAYING,PAY CURR,05,05
75723,LEGAL,LEG_NOT,05,05
53017,INSOLVENCY,INS2,05,05
94956,PAYING,PAY PROP,05,05
46369,INSOLVENCY,INS4,05,05
10180,OTHER,ARCHIVED,05,05
46494,OTHER,ARCHIVED,05,05
93890,LEGAL,LEG_TIT,05,05
36291,PAYING,PAY PROP,05,05
51246,SETTLED,SETTLED,05,05
19086,LEGAL,LEG VERIF 1,05,05
42747,INSOLVENCY,INSP,05,05
74228,PAYING,PAY PROP,05,05
13861,TRACE,GONEAWAY,05,05
11336,SETTLED,SETTLED,05,05
47103,INSOLVENCY,INS4,05,05
55030,TRACE,GONEAWAY,05,05
46155,OTHER,ARCHIVED,05,05
13787,INSOLVENCY,INS2,05,05
29210,PAYING,PAY PROP,05,05
59791,INSOLVENCY,INS3,05,05
52087,LEGAL,LEG VERIF 2,05,05
85173,SETTLED,SETTLED,05,05
34177,TRACE,GONEAWAY,05,05
46986,LEGAL,LEG_NOT,05,05
25000,COLLECTIONS,TELSOLUTIONS4,05,05
69833,SETTLED,SETTLED,05,05
57819,LEGAL,LEG_TIT,05,05
52017,PAYING,PAY PROP,05,05
10474,INSOLVENCY,INS1,05,05
94928,COLLECTIONS,PRIME_D,05,05
65559,PAYING,PAY PROP,05,05
17320,SETTLED,SETTLED,05,05
